StudentID,Gender,ParentIncome,IQ,ParentEncouragement,CollegePlans
502,Female,36700,93,Not Encouraged,Does not plan to attend
503,Female,56430,102,Encouraged,Plans to attend
504,Male,76780,80,Encouraged,Plans to attend
505,Male,14500,90,Not Encouraged,Does not plan to attend
506,Female,32900,109,Not Encouraged,Does not plan to attend
507,Female,64350,97,Encouraged,Does not plan to attend
508,Female,35300,114,Not Encouraged,Does not plan to attend
509,Female,34760,129,Encouraged,Plans to attend
510,Male,44500,94,Not Encouraged,Does not plan to attend
562,Male,42100,62,Not Encouraged,Does not plan to attend
563,Female,45090,118,Encouraged,Does not plan to attend
564,Male,13800,60,Not Encouraged,Does not plan to attend
565,Male,37600,97,Not Encouraged,Does not plan to attend
566,Female,46400,95,Not Encouraged,Does not plan to attend
567,Male,13600,131,Not Encouraged,Does not plan to attend
568,Female,45100,100,Not Encouraged,Does not plan to attend
569,Male,39160,91,Encouraged,Plans to attend
570,Female,34830,75,Encouraged,Does not plan to attend
571,Female,51120,86,Encouraged,Does not plan to attend
572,Female,60170,136,Encouraged,Plans to attend
573,Male,18200,95,Not Encouraged,Does not plan to attend
574,Female,17600,65,Not Encouraged,Does not plan to attend
575,Female,38940,94,Encouraged,Plans to attend
576,Female,47610,72,Encouraged,Does not plan to attend
577,Male,22500,60,Not Encouraged,Does not plan to attend
578,Male,11070,73,Encouraged,Does not plan to attend
579,Female,11700,105,Not Encouraged,Does not plan to attend
580,Female,35100,63,Not Encouraged,Does not plan to attend
581,Male,80850,104,Encouraged,Plans to attend
582,Female,68310,98,Encouraged,Plans to attend
583,Female,33600,75,Not Encouraged,Does not plan to attend
584,Male,42400,92,Not Encouraged,Does not plan to attend
585,Female,28600,98,Not Encouraged,Does not plan to attend
586,Female,31700,78,Not Encouraged,Does not plan to attend
587,Female,43000,106,Not Encouraged,Does not plan to attend
588,Male,42700,98,Not Encouraged,Does not plan to attend
589,Male,58410,104,Encouraged,Does not plan to attend
590,Female,6390,94,Encouraged,Does not plan to attend
591,Female,39820,105,Encouraged,Plans to attend
592,Male,58860,105,Encouraged,Does not plan to attend
593,Male,20200,91,Not Encouraged,Does not plan to attend
594,Female,69960,127,Encouraged,Plans to attend
595,Female,69630,110,Encouraged,Plans to attend
596,Male,31500,86,Not Encouraged,Does not plan to attend
597,Male,65560,115,Encouraged,Plans to attend
598,Male,69600,104,Not Encouraged,Does not plan to attend
599,Male,81180,110,Encouraged,Plans to attend
600,Male,39490,100,Encouraged,Plans to attend
601,Female,37100,122,Not Encouraged,Does not plan to attend
602,Male,8000,97,Not Encouraged,Does not plan to attend
603,Female,53900,94,Not Encouraged,Plans to attend
604,Male,25630,97,Encouraged,Plans to attend
605,Male,64130,99,Encouraged,Plans to attend
606,Male,65560,75,Encouraged,Plans to attend
607,Female,31100,82,Not Encouraged,Does not plan to attend
608,Male,19170,106,Encouraged,Does not plan to attend
609,Female,51480,129,Encouraged,Does not plan to attend
610,Female,39240,136,Encouraged,Does not plan to attend
611,Female,37000,111,Not Encouraged,Does not plan to attend
612,Female,35200,91,Not Encouraged,Does not plan to attend
715,Male,28980,104,Encouraged,Does not plan to attend
716,Male,29800,86,Not Encouraged,Does not plan to attend
717,Male,51810,139,Encouraged,Plans to attend
718,Male,16380,129,Encouraged,Does not plan to attend
719,Female,46800,108,Encouraged,Does not plan to attend
720,Male,18700,110,Encouraged,Plans to attend
721,Female,60280,111,Encouraged,Plans to attend
722,Male,47880,93,Encouraged,Does not plan to attend
723,Female,41760,101,Encouraged,Does not plan to attend
724,Male,42800,86,Not Encouraged,Does not plan to attend
725,Male,55990,117,Encouraged,Plans to attend
726,Male,55000,93,Encouraged,Plans to attend
727,Female,37710,79,Encouraged,Does not plan to attend
728,Male,57600,107,Encouraged,Does not plan to attend
729,Female,49940,103,Encouraged,Plans to attend
730,Male,15600,93,Not Encouraged,Does not plan to attend
731,Male,74250,104,Encouraged,Plans to attend
732,Female,28260,93,Encouraged,Does not plan to attend
733,Female,29700,96,Not Encouraged,Does not plan to attend
734,Male,55550,124,Encouraged,Plans to attend
735,Female,35000,140,Not Encouraged,Does not plan to attend
736,Female,43300,106,Not Encouraged,Does not plan to attend
737,Male,43010,102,Encouraged,Plans to attend
738,Female,44280,69,Encouraged,Does not plan to attend
739,Female,36300,93,Not Encouraged,Does not plan to attend
740,Male,27270,106,Encouraged,Does not plan to attend
741,Female,35550,119,Encouraged,Does not plan to attend
742,Male,57240,81,Encouraged,Does not plan to attend
743,Female,37700,94,Not Encouraged,Plans to attend
744,Male,32400,87,Not Encouraged,Does not plan to attend
745,Female,45900,73,Not Encouraged,Does not plan to attend
746,Female,30000,107,Not Encouraged,Does not plan to attend
747,Female,41300,110,Not Encouraged,Does not plan to attend
748,Female,67320,97,Encouraged,Plans to attend
749,Male,80520,121,Encouraged,Plans to attend
750,Female,15700,92,Not Encouraged,Does not plan to attend
751,Male,22000,102,Not Encouraged,Does not plan to attend
752,Female,42120,67,Encouraged,Does not plan to attend
753,Female,37980,78,Encouraged,Does not plan to attend
754,Female,43470,104,Encouraged,Does not plan to attend
755,Male,51920,98,Encouraged,Plans to attend
756,Female,41700,104,Not Encouraged,Does not plan to attend
757,Male,44190,135,Encouraged,Does not plan to attend
758,Female,32300,104,Not Encouraged,Does not plan to attend
759,Female,20790,90,Encouraged,Does not plan to attend
760,Male,25200,126,Not Encouraged,Does not plan to attend
761,Male,77000,114,Encouraged,Plans to attend
762,Male,12060,63,Encouraged,Does not plan to attend
763,Female,43100,102,Not Encouraged,Does not plan to attend
764,Male,51040,124,Encouraged,Plans to attend
765,Male,46970,118,Encouraged,Plans to attend
766,Female,36800,67,Not Encouraged,Does not plan to attend
767,Female,48290,61,Encouraged,Plans to attend
768,Male,53680,104,Encouraged,Plans to attend
769,Female,55440,108,Encouraged,Does not plan to attend
770,Female,36200,73,Not Encouraged,Does not plan to attend
771,Female,10700,86,Not Encouraged,Does not plan to attend
772,Female,63300,103,Not Encouraged,Does not plan to attend
773,Female,46300,84,Not Encouraged,Does not plan to attend
774,Female,51590,110,Encouraged,Plans to attend
775,Male,32300,107,Not Encouraged,Does not plan to attend
776,Female,28710,74,Encouraged,Does not plan to attend
777,Female,66600,95,Not Encouraged,Does not plan to attend
778,Male,56070,97,Encouraged,Does not plan to attend
779,Female,10100,94,Not Encouraged,Does not plan to attend
780,Male,31050,126,Encouraged,Does not plan to attend
781,Female,60120,107,Encouraged,Does not plan to attend
782,Female,79750,129,Encouraged,Plans to attend
783,Male,44990,121,Encouraged,Plans to attend
784,Female,7800,90,Not Encouraged,Does not plan to attend
785,Male,64980,101,Encouraged,Does not plan to attend
786,Male,32300,72,Not Encouraged,Does not plan to attend
787,Female,40320,101,Encouraged,Does not plan to attend
788,Male,39780,92,Encouraged,Does not plan to attend
789,Male,78100,103,Encouraged,Plans to attend
790,Male,24400,63,Not Encouraged,Does not plan to attend
791,Female,22500,86,Not Encouraged,Does not plan to attend
792,Female,26500,81,Not Encouraged,Does not plan to attend
793,Female,30300,95,Not Encouraged,Does not plan to attend
794,Male,37350,104,Encouraged,Does not plan to attend
795,Female,45900,70,Not Encouraged,Does not plan to attend
796,Female,26000,106,Not Encouraged,Does not plan to attend
797,Female,11100,89,Not Encouraged,Does not plan to attend
798,Male,33300,91,Encouraged,Does not plan to attend
799,Male,39330,114,Encouraged,Does not plan to attend
800,Female,44550,85,Encouraged,Does not plan to attend
801,Male,67900,90,Not Encouraged,Does not plan to attend
802,Male,37620,94,Encouraged,Plans to attend
803,Male,40100,77,Not Encouraged,Does not plan to attend
804,Male,39200,72,Not Encouraged,Does not plan to attend
805,Male,78430,107,Encouraged,Plans to attend
806,Female,52360,107,Encouraged,Plans to attend
807,Female,20100,70,Not Encouraged,Does not plan to attend
808,Female,66220,134,Encouraged,Plans to attend
809,Female,33400,120,Not Encouraged,Does not plan to attend
810,Female,64570,104,Encouraged,Plans to attend
811,Female,34600,110,Not Encouraged,Does not plan to attend
812,Female,81840,108,Encouraged,Plans to attend
813,Female,67800,102,Not Encouraged,Does not plan to attend
814,Female,38200,106,Not Encouraged,Does not plan to attend
815,Female,72100,111,Not Encouraged,Does not plan to attend
816,Male,38970,62,Encouraged,Does not plan to attend
817,Female,79860,104,Encouraged,Plans to attend
818,Male,37350,138,Encouraged,Does not plan to attend
819,Female,76450,108,Encouraged,Plans to attend
820,Female,18500,102,Not Encouraged,Does not plan to attend
821,Male,10800,79,Not Encouraged,Does not plan to attend
822,Female,46310,104,Encouraged,Plans to attend
823,Male,54670,115,Encouraged,Plans to attend
824,Male,38430,128,Encouraged,Does not plan to attend
825,Female,69080,103,Encouraged,Plans to attend
826,Male,19470,124,Encouraged,Plans to attend
827,Female,48900,99,Not Encouraged,Does not plan to attend
828,Male,36900,82,Not Encouraged,Does not plan to attend
829,Male,47300,131,Encouraged,Plans to attend
830,Female,19700,82,Not Encouraged,Does not plan to attend
831,Male,30000,88,Not Encouraged,Does not plan to attend
832,Male,31600,67,Not Encouraged,Does not plan to attend
833,Male,52360,94,Encouraged,Plans to attend
834,Male,78320,97,Encouraged,Plans to attend
835,Male,50050,117,Encouraged,Plans to attend
836,Female,42460,130,Encouraged,Plans to attend
837,Female,24400,93,Not Encouraged,Does not plan to attend
838,Male,27720,108,Encouraged,Does not plan to attend
839,Male,33750,120,Encouraged,Does not plan to attend
840,Male,26730,101,Encouraged,Does not plan to attend
841,Male,16720,125,Encouraged,Plans to attend
842,Male,43500,110,Not Encouraged,Does not plan to attend
843,Female,28710,107,Encouraged,Does not plan to attend
844,Female,14100,62,Not Encouraged,Does not plan to attend
845,Female,25650,79,Encouraged,Does not plan to attend
846,Female,74910,96,Encouraged,Plans to attend
847,Male,39930,98,Encouraged,Plans to attend
848,Female,65610,95,Encouraged,Does not plan to attend
849,Male,75900,118,Encouraged,Plans to attend
850,Female,14500,103,Not Encouraged,Does not plan to attend
851,Female,34110,60,Encouraged,Does not plan to attend
852,Female,47900,84,Not Encouraged,Does not plan to attend
853,Male,40600,97,Not Encouraged,Does not plan to attend
854,Female,35200,91,Not Encouraged,Does not plan to attend
855,Male,42750,83,Encouraged,Does not plan to attend
856,Female,70510,118,Encouraged,Plans to attend
857,Male,33500,96,Not Encouraged,Does not plan to attend
858,Female,53640,97,Encouraged,Does not plan to attend
859,Female,36200,97,Not Encouraged,Does not plan to attend
860,Female,56540,103,Encouraged,Plans to attend
861,Female,47960,127,Encouraged,Plans to attend
862,Male,54230,102,Encouraged,Plans to attend
863,Female,59220,95,Encouraged,Does not plan to attend
864,Male,61270,140,Encouraged,Plans to attend
865,Male,36000,61,Not Encouraged,Does not plan to attend
866,Male,72270,115,Encouraged,Plans to attend
867,Female,47880,75,Encouraged,Does not plan to attend
1276,Male,46300,79,Not Encouraged,Does not plan to attend
1277,Male,25000,91,Not Encouraged,Does not plan to attend
1278,Female,30700,66,Not Encouraged,Does not plan to attend
1279,Female,50820,111,Encouraged,Plans to attend
1280,Male,9700,99,Not Encouraged,Does not plan to attend
1281,Female,56800,91,Not Encouraged,Plans to attend
1282,Female,38430,90,Encouraged,Does not plan to attend
1283,Male,33330,131,Encouraged,Plans to attend
1284,Female,63580,130,Encouraged,Plans to attend
1285,Female,36900,65,Encouraged,Does not plan to attend
1286,Female,8800,72,Not Encouraged,Does not plan to attend
1287,Female,21600,116,Not Encouraged,Does not plan to attend
1288,Female,45540,114,Encouraged,Does not plan to attend
1289,Male,36630,102,Encouraged,Plans to attend
1290,Male,27500,71,Not Encouraged,Does not plan to attend
1291,Male,33660,92,Encouraged,Plans to attend
1292,Female,43000,61,Not Encouraged,Does not plan to attend
1293,Female,27800,100,Not Encouraged,Does not plan to attend
1294,Male,39780,62,Encouraged,Does not plan to attend
1295,Male,27610,131,Encouraged,Plans to attend
1296,Female,42460,102,Encouraged,Plans to attend
1297,Male,52800,120,Encouraged,Plans to attend
1298,Male,74250,108,Encouraged,Plans to attend
1299,Male,14490,84,Encouraged,Does not plan to attend
1300,Female,11600,104,Not Encouraged,Does not plan to attend
1301,Female,44200,134,Not Encouraged,Plans to attend
1302,Male,14800,92,Not Encouraged,Does not plan to attend
1303,Female,32490,87,Encouraged,Does not plan to attend
1304,Female,65450,132,Encouraged,Plans to attend
1305,Female,63270,139,Encouraged,Does not plan to attend
1306,Female,67100,93,Encouraged,Plans to attend
1307,Female,34380,95,Encouraged,Does not plan to attend
1308,Female,45650,101,Encouraged,Plans to attend
1309,Male,55110,96,Encouraged,Plans to attend
1310,Male,41580,110,Encouraged,Plans to attend
1311,Female,47700,123,Encouraged,Does not plan to attend
1312,Female,33300,91,Not Encouraged,Does not plan to attend
1313,Male,73590,134,Encouraged,Plans to attend
1314,Male,38520,114,Encouraged,Does not plan to attend
1315,Male,73480,97,Encouraged,Plans to attend
1316,Female,68200,138,Not Encouraged,Does not plan to attend
1317,Female,8100,95,Not Encouraged,Does not plan to attend
1318,Male,14490,60,Encouraged,Does not plan to attend
1319,Male,33030,107,Encouraged,Does not plan to attend
1320,Male,44550,115,Encouraged,Does not plan to attend
1321,Male,39200,94,Not Encouraged,Does not plan to attend
1322,Male,16700,129,Not Encouraged,Does not plan to attend
1323,Female,22100,101,Not Encouraged,Does not plan to attend
1324,Male,61100,82,Not Encouraged,Does not plan to attend
1325,Female,14700,96,Not Encouraged,Does not plan to attend
1326,Female,31800,62,Not Encouraged,Does not plan to attend
1735,Female,18100,95,Not Encouraged,Does not plan to attend
1736,Female,72380,110,Encouraged,Plans to attend
1737,Female,19100,92,Not Encouraged,Does not plan to attend
1738,Male,17300,101,Not Encouraged,Does not plan to attend
1739,Female,44000,88,Not Encouraged,Does not plan to attend
1740,Male,7500,92,Not Encouraged,Does not plan to attend
1741,Male,30400,110,Not Encouraged,Does not plan to attend
1742,Female,66150,102,Encouraged,Does not plan to attend
1743,Female,61050,107,Encouraged,Plans to attend
1744,Female,66700,103,Not Encouraged,Does not plan to attend
1745,Male,39000,96,Not Encouraged,Does not plan to attend
1746,Male,18180,106,Encouraged,Does not plan to attend
1747,Male,26700,98,Not Encouraged,Does not plan to attend
1748,Male,13140,76,Encouraged,Does not plan to attend
1749,Female,39500,64,Not Encouraged,Does not plan to attend
1750,Female,51370,140,Encouraged,Plans to attend
1751,Female,35000,109,Not Encouraged,Does not plan to attend
1752,Male,35200,99,Not Encouraged,Does not plan to attend
1753,Male,58850,104,Encouraged,Plans to attend
1754,Male,14740,139,Encouraged,Plans to attend
1755,Male,59620,132,Encouraged,Plans to attend
1756,Female,7500,103,Not Encouraged,Does not plan to attend
1757,Female,53350,107,Encouraged,Plans to attend
1758,Female,77330,123,Encouraged,Plans to attend
1759,Male,13640,108,Encouraged,Plans to attend
1760,Female,47600,95,Not Encouraged,Does not plan to attend
1761,Male,21690,70,Encouraged,Does not plan to attend
1762,Female,18400,106,Not Encouraged,Does not plan to attend
1763,Male,58770,105,Encouraged,Does not plan to attend
1764,Male,78760,114,Encouraged,Plans to attend
1765,Female,34320,104,Encouraged,Plans to attend
1766,Male,41490,75,Encouraged,Does not plan to attend
1767,Male,58050,79,Encouraged,Does not plan to attend
1768,Female,39960,116,Encouraged,Does not plan to attend
1769,Female,29200,140,Not Encouraged,Does not plan to attend
1770,Female,40400,70,Not Encouraged,Plans to attend
1771,Male,42400,80,Not Encouraged,Does not plan to attend
1772,Female,48300,100,Not Encouraged,Does not plan to attend
1773,Female,39100,67,Not Encouraged,Does not plan to attend
1774,Male,34700,76,Not Encouraged,Does not plan to attend
1775,Male,33500,97,Not Encouraged,Does not plan to attend
1776,Female,46100,109,Not Encouraged,Does not plan to attend
1777,Female,72270,69,Encouraged,Plans to attend
1778,Male,39330,110,Encouraged,Does not plan to attend
1779,Female,69630,112,Encouraged,Plans to attend
1780,Male,38520,62,Encouraged,Does not plan to attend
1781,Male,78760,135,Encouraged,Plans to attend
1782,Female,44190,98,Encouraged,Does not plan to attend
1783,Male,36270,93,Encouraged,Does not plan to attend
1784,Female,16800,91,Not Encouraged,Does not plan to attend
1785,Female,53570,106,Encouraged,Plans to attend
2194,Male,43800,66,Not Encouraged,Does not plan to attend
2195,Male,45000,101,Not Encouraged,Does not plan to attend
2196,Male,41000,133,Not Encouraged,Plans to attend
